RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
456886,20251105,M,40대,경상북도,700만원 이상,스트레스 해소를 위해,대인 관계-교제를 위해
457087,20251105,M,20대,충청남도,무응답,남는 시간을 보내기 위해,자기만족-즐거움을 위해
457103,20251105,M,20대,전라남도,무응답,남는 시간을 보내기 위해,자기 계발을 위해
457196,20251105,M,20대,인천광역시,500이상700만원 미만,자기 계발을 위해,건강 관리를 위해
457769,20251105,F,20대,충청남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
458377,20251105,M,20대,경기도,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
458614,20251105,M,20대,서울특별시,300만원 미만,건강 관리를 위해,스트레스 해소를 위해
458670,20251105,M,20대,인천광역시,700만원 이상,자기 계발을 위해,건강 관리를 위해
459203,20251105,M,20대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,건강 관리를 위해
459249,20251105,M,20대,인천광역시,무응답,대인 관계-교제를 위해,스트레스 해소를 위해
460896,20251105,M,20대,대구광역시,무응답,건강 관리를 위해,남는 시간을 보내기 위해
463788,20251105,M,20대,경상북도,무응답,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해
463998,20251105,M,20대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
466096,20251105,M,20대,울산광역시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
467107,20251105,M,30대,경상북도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해
467485,20251105,M,20대,경기도,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
467823,20251105,M,50대,대전광역시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
468741,20251105,M,20대,인천광역시,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
470528,20251105,M,30대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
472355,20251105,M,30대,경기도,무응답,대인 관계-교제를 위해,스트레스 해소를 위해
475365,20251105,F,60대,전라남도,무응답,자기만족-즐거움을 위해,자기 계발을 위해
476622,20251105,M,30대,경상북도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
477378,20251105,M,20대,경상남도,500이상700만원 미만,마음의 안정-휴식을 위해,자기 계발을 위해
477875,20251105,M,20대,경상남도,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
478616,20251105,F,30대,부산광역시,무응답,가족-지인 등과 시간을 보내기 위해,남는 시간을 보내기 위해
478902,20251105,F,60대,경상남도,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
483598,20251105,F,30대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
484367,20251105,M,40대,경상북도,500이상700만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해
484390,20251105,M,30대,제주특별자치도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
485029,20251105,F,40대,전라북도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
485046,20251105,F,20대,대전광역시,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
485171,20251105,M,30대,서울특별시,무응답,스트레스 해소를 위해,건강 관리를 위해
2954660,20251105,M,20대,경기도,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
3008801,20251105,F,40대,경기도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해
3089615,20251105,M,20대,서울특별시,무응답,스트레스 해소를 위해,대인 관계-교제를 위해
3093858,20251105,M,20대,인천광역시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
3125898,20251105,M,20대,전라남도,무응답,자기만족-즐거움을 위해,남는 시간을 보내기 위해
3168909,20251105,F,40대,경기도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
3169931,20251105,M,30대,경기도,무응답,마음의 안정-휴식을 위해,자기 계발을 위해
3238644,20251105,M,20대,서울특별시,무응답,대인 관계-교제를 위해,자기만족-즐거움을 위해
3266222,20251105,M,40대,경기도,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해
3295816,20251105,F,60대,경기도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
3296172,20251105,F,20대,경상북도,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53322266,20251105,F,30대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322288,20251105,F,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해
53322675,20251105,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53322733,20251105,M,30대,서울특별시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322744,20251105,F,30대,서울특별시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322977,20251105,F,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,기타
53323143,20251105,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53323301,20251105,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53323332,20251105,M,60대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53323361,20251105,F,60대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53323371,20251105,M,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53323791,20251105,M,60대,서울특별시,무응답,스트레스 해소를 위해,건강 관리를 위해
53323939,20251105,F,60대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53324067,20251105,M,60대,서울특별시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53324104,20251105,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53324302,20251105,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해
53324674,20251105,M,40대,서울특별시,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53324783,20251105,F,60대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53324872,20251105,M,60대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53324913,20251105,M,60대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53324917,20251105,M,50대,서울특별시,무응답,마음의 안정-휴식을 위해,건강 관리를 위해
53325165,20251105,M,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53325170,20251105,M,60대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53325421,20251105,M,30대,제주특별자치도,무응답,마음의 안정-휴식을 위해,스트레스 해소를 위해
53325699,20251105,M,60대,경기도,500이상700만원 미만,자기 계발을 위해,건강 관리를 위해
53326053,20251105,M,50대,경기도,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53326092,20251105,F,60대,울산광역시,300만원 미만,대인 관계-교제를 위해,건강 관리를 위해
53326199,20251105,F,50대,경상남도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53326223,20251105,F,50대,서울특별시,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53326254,20251105,M,40대,광주광역시,무응답,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해
53326317,20251105,M,40대,서울특별시,700만원 이상,스트레스 해소를 위해,남는 시간을 보내기 위해
53326456,20251105,M,30대,인천광역시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53326494,20251105,F,40대,강원도,700만원 이상,건강 관리를 위해,스트레스 해소를 위해
53326745,20251105,M,40대,세종특별자치시,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53326912,20251105,F,30대,경기도,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53327080,20251105,M,30대,경기도,무응답,마음의 안정-휴식을 위해,건강 관리를 위해
53327328,20251105,F,50대,인천광역시,700만원 이상,자기만족-즐거움을 위해,대인 관계-교제를 위해
53327331,20251105,F,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53327652,20251105,M,50대,경상남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해
53327719,20251105,M,40대,경기도,700만원 이상,마음의 안정-휴식을 위해,대인 관계-교제를 위해
53327955,20251105,M,40대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53328221,20251105,M,30대,경상북도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53328259,20251105,F,30대,경기도,300이상500만원 미만,자기 계발을 위해,자기만족-즐거움을 위해
53328760,20251105,F,30대,경상남도,무응답,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53328847,20251105,F,30대,경기도,무응답,마음의 안정-휴식을 위해,스트레스 해소를 위해
53328925,20251105,M,60대,대전광역시,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53328955,20251105,F,20대,서울특별시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해
53329012,20251105,M,30대,서울특별시,무응답,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53329105,20251105,M,30대,경기도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
53329299,20251105,F,40대,울산광역시,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53329514,20251105,F,40대,대전광역시,500이상700만원 미만,자기 계발을 위해,마음의 안정-휴식을 위해
53329710,20251105,F,50대,부산광역시,무응답,건강 관리를 위해,스트레스 해소를 위해
53329738,20251105,F,60대,경기도,700만원 이상,건강 관리를 위해,대인 관계-교제를 위해
53329779,20251105,F,30대,경기도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해
53329952,20251105,M,40대,울산광역시,무응답,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53330035,20251105,F,20대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53330057,20251105,F,20대,대구광역시,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해
53330176,20251105,F,40대,서울특별시,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해
53330181,20251105,F,50대,경기도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53330250,20251105,F,20대,경기도,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53330373,20251105,M,30대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53330381,20251105,F,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53330453,20251105,F,40대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53330559,20251105,M,50대,서울특별시,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53330670,20251105,F,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53331144,20251105,M,60대,전라남도,300이상500만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53331185,20251105,F,50대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53331343,20251105,F,30대,경기도,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53331370,20251105,F,30대,전라남도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53331560,20251105,F,50대,부산광역시,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53331591,20251105,F,20대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53331633,20251105,M,30대,충청남도,무응답,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53331752,20251105,M,30대,울산광역시,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53331779,20251105,M,40대,경기도,무응답,마음의 안정-휴식을 위해,스트레스 해소를 위해
53332058,20251105,M,30대,충청남도,무응답,남는 시간을 보내기 위해,마음의 안정-휴식을 위해
53332080,20251105,M,40대,경기도,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53332098,20251105,M,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53332231,20251105,M,60대,대전광역시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53332238,20251105,M,40대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53332499,20251105,F,20대,경상북도,500이상700만원 미만,자기 계발을 위해,건강 관리를 위해
53332532,20251105,M,40대,경기도,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해
53332537,20251105,F,50대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53332543,20251105,F,60대,경기도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53332650,20251105,F,60대,전라남도,700만원 이상,자기 계발을 위해,건강 관리를 위해
53332749,20251105,M,60대,울산광역시,무응답,마음의 안정-휴식을 위해,건강 관리를 위해
53332779,20251105,M,40대,광주광역시,300만원 미만,자기 계발을 위해,마음의 안정-휴식을 위해
53332802,20251105,F,30대,경기도,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53333014,20251105,F,30대,부산광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53333513,20251105,F,60대,경기도,무응답,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53333620,20251105,F,40대,부산광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53333944,20251105,F,30대,인천광역시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53334607,20251105,F,20대,경상남도,무응답,자기만족-즐거움을 위해,스트레스 해소를 위해
53334849,20251105,M,30대,경상남도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53334863,20251105,M,30대,인천광역시,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53334946,20251105,F,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53335378,20251105,F,60대,전라북도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53335389,20251105,F,40대,경기도,700만원 이상,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53335699,20251105,M,60대,경상북도,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53335873,20251105,F,50대,경상남도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53335878,20251105,F,60대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53336044,20251105,M,30대,서울특별시,무응답,건강 관리를 위해,대인 관계-교제를 위해
53336199,20251105,F,60대,경상남도,500이상700만원 미만,건강 관리를 위해,자기 계발을 위해
53336209,20251105,F,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53336280,20251105,F,60대,경상북도,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53336529,20251105,M,50대,서울특별시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53336548,20251105,M,40대,서울특별시,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53336590,20251105,M,40대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53336599,20251105,F,40대,전라북도,무응답,마음의 안정-휴식을 위해,없음
53336814,20251105,F,60대,경상남도,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53336954,20251105,F,60대,전라남도,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53337040,20251105,F,40대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53337041,20251105,M,60대,경상남도,무응답,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53337117,20251105,M,60대,경상북도,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53337364,20251105,M,50대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53337471,20251105,F,30대,경기도,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53337521,20251105,M,60대,인천광역시,700만원 이상,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해
53337555,20251105,F,50대,충청북도,무응답,건강 관리를 위해,자기 계발을 위해
53337871,20251105,M,60대,서울특별시,무응답,건강 관리를 위해,마음의 안정-휴식을 위해
53337887,20251105,F,40대,부산광역시,300만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53338037,20251105,M,40대,경기도,무응답,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53338077,20251105,F,60대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해
53338080,20251105,F,20대,서울특별시,500이상700만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해
53338236,20251105,M,30대,서울특별시,무응답,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53338292,20251105,M,20대,서울특별시,무응답,마음의 안정-휴식을 위해,스트레스 해소를 위해
53338529,20251105,M,60대,전라남도,300만원 미만,건강 관리를 위해,남는 시간을 보내기 위해
53338636,20251105,F,50대,대전광역시,700만원 이상,건강 관리를 위해,스트레스 해소를 위해
53338733,20251105,F,50대,부산광역시,무응답,건강 관리를 위해,마음의 안정-휴식을 위해
53338881,20251105,M,50대,경상남도,500이상700만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53338926,20251105,F,50대,경기도,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53339123,20251105,M,30대,광주광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53339135,20251105,M,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53339293,20251105,M,40대,인천광역시,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53339464,20251105,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53339500,20251105,F,30대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53339550,20251105,F,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53339551,20251105,F,60대,경기도,500이상700만원 미만,대인 관계-교제를 위해,마음의 안정-휴식을 위해
53339632,20251105,M,30대,충청남도,무응답,스트레스 해소를 위해,자기만족-즐거움을 위해
53339647,20251105,M,40대,충청북도,무응답,건강 관리를 위해,자기 계발을 위해
53339704,20251105,F,30대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53339721,20251105,F,60대,대구광역시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해
53339780,20251105,F,50대,전라남도,300이상500만원 미만,대인 관계-교제를 위해,건강 관리를 위해
53339929,20251105,F,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53339943,20251105,M,60대,부산광역시,무응답,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53339950,20251105,M,40대,경상남도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53339987,20251105,F,60대,서울특별시,무응답,자기만족-즐거움을 위해,대인 관계-교제를 위해
53339998,20251105,M,50대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53340016,20251105,M,40대,경기도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53340034,20251105,F,30대,인천광역시,무응답,마음의 안정-휴식을 위해,자기 계발을 위해
53340349,20251105,F,60대,인천광역시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해
53340599,20251105,M,50대,부산광역시,무응답,마음의 안정-휴식을 위해,대인 관계-교제를 위해
